;Кому посвящен;Наименование;Адрес;Авторы;Год открытия;Описание;PHOTO_URL;y;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;;Искусств пл.;Аникушин Михаил Константинович;1957;–;https://avatars.mds.yandex.net/get-altay/15278128/2a00000197ead86a95b6df69967684e80c9a/XXXL;59.937257; 30.331640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Маяковский В. В.;;улица Маяковского, 28;–;–;Русский поэт, родоначальник советской литературы.;https://avatars.mds.yandex.net/get-altay/4365916/2a0000017753c8e9c8a37decb06641ce7ee6/XXXL;59.938699; 30.354880;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Блок А. А.;;Университетская набережная, 7-9-11В;;;;https://avatars.mds.yandex.net/get-altay/1975185/2a0000016dd90c917536f9202f629f4f47be/XXXL;59.939971; 30.299660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;А. А. Ахматова;;Университетская набережная, 7-9-11В;;;;https://avatars.mds.yandex.net/get-altay/10231026/2a0000018efd139f64780a8f8220544d69b3/XXXL;59.940232; 30.298496;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Ломоносов М. В.;;Менделеевская линия В.О.;Свешников Валентин Дмитриевич, Петров Борис Анатольевич;–;Учёный, поэт, художник, историк.;https://avatars.mds.yandex.net/get-altay/10488540/2a0000018aa4d5867bbb647f31f1b0c6fe28/XXXL;59.940552; 30.301619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;;Мойки реки наб., 12;Дыдыкин Николай Васильевич;1952;–;https://avatars.mds.yandex.net/get-altay/16474107/2a0000019b31e792d9a25c20d458d16671e2/XXXL;59.940983; 30.321558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Есенин С. А.;;Таврический сад;Чаркин Альберт Серафимович;–;–;https://avatars.mds.yandex.net/get-altay/15042938/2a0000019a02f9a22dc0b1cca2045e8e3e53/XXXL;59.9446222; 30.3692486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;;Макарова наб., 4, ИРЛИ;Шредер Иван Николаевич, Одновалов Станислав Павлович;–;Бронзовый бюст на гранитном постаменте.;https://avatars.mds.yandex.net/get-altay/5120632/2a000001904922ee282d21bcc919db81ceaa/XXXL;59.944982; 30.301355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Бродский И. А.;;улица Одоевского, 28;;;;https://avatars.mds.yandex.net/get-altay/2812564/2a00000172a44a8915f2224ad42ef6db8c08/XXL_height;59.946928; 30.239451;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Ахматова А. А.;;Воскресенская набережная, 12;;2006;;https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Tsentralny_District%2C_St_Petersburg%2C_Russia_-_panoramio_%28252%29.jpg/1280px-Tsentralny_District%2C_St_Petersburg%2C_Russia_-_panoramio_%28252%29.jpg;59.949191; 30.363641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Горький М.;;Кронверкский проспект, 21/2;–;–;Русский писатель, драматург, общественный деятель.;https://avatars.mds.yandex.net/get-altay/363317/2a0000015cc18adf5bdcc71836201104c681/XXXL;59.956744; 30.319837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Добролюбов Н.А.;;Большой пр. П.С. на пересечении Введенской ул;Синайский В.А.;1959 г.;–;https://avatars.mds.yandex.net/get-altay/2006773/2a0000016bf55df68ac62b35fbae344f686e/XXXL;59.9582543; 30.2988255;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;Пушкин ушёл;улица Савушкина, 1/2;;;;https://avatars.mds.yandex.net/get-altay/14584627/2a000001971268db4f0405b312b5a846fee4/XXXL;59.986707; 30.300176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Берггольц О. Ф.;;набережная Чёрной речки, 20;–;–;Русский поэт. Участница обороны Ленинграда.;https://avatars.mds.yandex.net/get-altay/9728306/2a0000018a03de3d20a923e1b5f2aebf6323/XXXL;59.989032; 30.292692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Пушкин А. С.;Место дуэли А.С. Пушкина;Коломяжский пр., 10;Лапиров Абрам Ильич, Катонин Евгений Иванович;–;Обелиск с стелами.;https://avatars.mds.yandex.net/get-altay/1360498/2a00000164d1512f21ba5c71423460966eb5/XXXL;59.994986; 30.301873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Памятник;Зощенко М. М.;;улица Токарева, 7;;;;https://avatars.mds.yandex.net/get-altay/6236523/2a000001803a55374af59e1525848b957742/XXXL;60.088403; 29.955194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
