Кому посвящена;ФИО_Стандарт;Адрес;Текст надписи;Даты/Авторы;Категория ГИС;URL_Высокая;y;x
Радищеву А. Н.;Радищев А.Н.;Марата ул., 14. (Ф-234);«В этом доме с 1775 г. по 1790 г. жил выдающийся революционер Александр Николаевич Радищев. Здесь он напечатал в собственной типографии книгу “Путешествие из Петербурга в Москву»;1949. Арх. Варакин И. И. Мрамор.;Мемориальная;https://encspb.ru/image/2805553853/1;59.929321;30.354395
Тарас Григорьевич Шевченко;Шевченко. Т. Г.;ул. Шевченко, 1;"""Эта улица в 1961 году названа в честь выдающегося украинского поэта и художника Тараса Григорьевича Шевченко""";;Мемориальная;;59.9294389;30.2468357
Василий Григорьевич Ян;Ян В.Г.;Фонтанки реки наб., 53.;«В этом доме с 1909 года по 1912 год жил и работал писатель Василий Григорьевич Ян»;1990 год, архитектор Милорадович Т. Н.;Мемориальная;;59.9294976;30.3370912
Чарушину Е. И.;Чарушин Е.И.;Фонтанки реки наб., 50;«В этом доме с 1948 по 1965 год жил и работал художник и писатель Евгений Иванович Чарушин»;1975 год, Арх. Милорадович Т. Н.;Мемориальная;-;59.9304858;30.341301
Ольга Федоровна Берггольц;Берггольц О.Ф.;Рубинштейна ул., 7 (Ф-151);«В этом доме с 1932 по 1943 год жила и работала поэт Ольга Федоровна Берггольц»;1990, Арх. Васильев А. Н., скульптор Винниченко В. И.;Мемориальная;https://encspb.ru/image/2805549638/1;59.9309153;30.3448379
Рылееву К. Ф.;Рылеев К.Ф.;Набережная реки Мойки, 72. (Ф-18);«В этом доме в 1824–1825 годах жил декабрист Кондратий Федорович Рылеев»;1975. Арх. Исаева В.В. Гранит.;Мемориальная;https://encspb.ru/image/2805525947/1;59.930927;30.3071143
Иван Алексеевич Бунина;Бунин И.А.;площадь Островского, 7 (Ф-157);«В этом здании 21-го ноября 1895 г. состоялось первое литературное выступление великого русского писателя Ивана Алексеевича Бунина. 1870–1953»;1996 год, Арх. Романовский Ф. К., скульптор Джибраев Ю. Г.;Мемориальная;https://encspb.ru/image/2805549962/1;59.931706;30.3349521
Пушкину А.С.;Пушкин А.С.;Галерная ул., 53.;«В этом доме жил Александр Сергеевич Пушкин в 1831–1832 г.»;1935. Мрамор. Автор: не указан.;Мемориальная;https://encspb.ru/image/2805553799/1;59.9317172;30.2886504
Владимир Владимирович Набоков;Набоков В.В.;Большая Морская ул., 47;«В этом доме родился писатель Владимир Владимирович Набоков. 1899–1977»;1992, Арх. Михайлов С. Л.;Мемориальная;https://encspb.ru/image/2805553377/1;59.9318236;30.3049746
Дидро Д.;Дидро Д.;Исаакиевская пл, 36;«В этом доме с 8 октября 1773 по 5 марта 1774 жил великий французский просветитель Дени Дидро»;1991. Арх. Васильковский В.С. Гранит.;Мемориальная;https://encspb.ru/image/2805551553/1;59.9330516;30.3060045
Владимир Васильевич Стасов;Стасов В.В.;площадь Островского, 1, Российская национальная библиотека (Ф-250).;«Здесь с 1855 г. по 1906 г. работал выдающийся деятель русской культуры Владимир Васильевич Стасов»;1957, Арх. Егоров М.Ф., скульптор Клюге Ю. Г. Мрамор.;Мемориальная;https://encspb.ru/image/2805554955/1;59.9334567;30.3358941
Иван Андреевич Крылов;Крылов И.А.;площадь Островского, 1;«В этом здании с 1812 г. по 1841 г. работал библиотекарем великий русский баснописец Иван Андреевич Крылов»;1956 г. Авторы: Арх. Егоров М. Ф., скульптор Соколов Н. А.;Мемориальная;https://encspb.ru/image/2805552721/1;59.9335192;30.335926
Михаил Евграфович Салтыков-Щедрин;Салтыков-Щедрин М.Е.;Литейный проспект, 60;«В этом доме с 1876 г. жил и в 1889 г. умер Михаил Евграфович Салтыков-Щедрин»;1955, Арх. Егоров М. Ф.;Мемориальная;;59.9337561;30.3482594
Виссарион Григорьевич Белинский;Белинский В.Г.;Невский проспект, 68/40;«В этом доме в 1842–1846 гг. жил Виссарион Григорьевич Белинский»;1948, Арх. Смирнов Н. И.;Мемориальная;;59.933775;30.3443673
Николай Васильевич Гоголь;Гоголь Н.В.;Малая Морская ул., 17;«В этом доме с 1833 г. по 1836 г. жил Николай Васильевич Гоголь»;1963, Арх. Гепнер Ф. А., скульптор Эйдлин Л. Ю.;Мемориальная;https://encspb.ru/image/2805551145/1;59.9339863;30.3126633
Сергей Есенин;Есенин С.А.;Малая Морская ул., 24–26 (Ф-184);«В бывшей гостинице “Англетер” 28 декабря 1925 года трагически оборвалась жизнь поэта Сергея Есенина»;1994 год, Арх. Петров В.А., мрамор;Мемориальная;https://encspb.ru/image/2805551804/1;59.9340034;30.3088079
Александр Ивановичу Герцену;Герцен А.И.;Большая Морская ул., 25;«В этом доме в квартире № 21 в 1840–41 гг. жил Александр Иванович Герцен»;1955. Арх. Егоров М. Ф. Мрамор;Мемориальная;;59.9341523;30.3131205
Лев Николаевич Толстой;Толстой Л.Н.;Фонтанки реки наб., 38.;«В этом доме с 19 ноября 1855 года по 1 января 1856 года жил великий русский писатель Лев Николаевич Толстой»;1960. Арх. Егоров М.Ф., скульпторы Татарович В. И., Ястребенецкий Г. Д.;Мемориальная;;59.9341699;30.3445255
Федор Иванович Тютчев;Тютчев Ф.И.;Невский проспект, 42;«В этом доме жил и работал выдающийся русский поэт Федор Иванович Тютчев»;1983, мрамор, Арх. Кривов А. С.;Мемориальная;https://encspb.ru/image/2805552976/1;59.9348209;30.3323793
Грибоедову А. С.;Грибоедов А.С.;Большая Морская ул., 14.;«В этом доме в 1828 году жил Александр Сергеевич Грибоедов»;1961 год, Арх. Смирнов Н. И., скульптор Кирпичникова Т. С., Гранит, бронза;Мемориальная;;59.9358706;30.3174456
Ахматовой А. А.;Ахматова А. А.;сад Фонтанного дома, Литейный проспект, 53;«Музей Анны Ахматовой. “Фонтанный дом»;1989 год. Архитектор В.А. Петров, скульптор А.М. Игнатьев. Гранит, бронза. Перенесена в 2003 году.;Мемориальная;https://encspb.ru/image/2805549495/1;59.9362231;30.3467921
Николай Гумилев (исследователь);Гумилев Н.С.;Радищева ул., 5.;«Здесь жил Николай Гумилев»;1991, Арх. Милорадович Т. Н. Мрамор;Мемориальная;;59.93668154;30.36265717
Гаршину В. М.;Гаршин В.М.;9-я Советская ул., 22/23;«В этом доме в 1883–1885 годах жил и работал русский писатель Всеволод Михайлович Гаршин»;1990, Арх. Питаев В. Л. Гранит;Мемориальная;;59.9368031;30.3771934
В.Я. Шишкову;Шишков В.Я.;Чебоксарский пер., 2/9;«В этом доме жил и работал в 1941–1942 гг. Вячеслав Яковлевич Шишков»;1950 год;Мемориальная;https://encspb.ru/image/2805559403/1;59.9377334;30.3268591
